,Movie,Year,IMDB,Metascore,Votes,Runtime,Director,Genre
115,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
116,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
117,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
118,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
119,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
120,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
121,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
122,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
123,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
124,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
125,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
126,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
127,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
128,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
129,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
130,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
131,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
132,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
133,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
134,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
135,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
136,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
137,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
138,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
139,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
140,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
141,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
142,Top Gun: Maverick,2022,8.3,78,634206,130 min,Joseph Kosinski,"Action, Drama"
143,Everything Everywhere All at Once,2022,7.8,81,482646,139 min,Daniel Kwan,"Action, Adventure, Comedy"
144,Avatar: The Way of Water,2022,7.6,67,462939,192 min,James Cameron,"Action, Adventure, Fantasy"
145,Doctor Strange in the Multiverse of Madness,2022,6.9,60,455443,126 min,Sam Raimi,"Action, Adventure, Fantasy"
146,Glass Onion,2022,7.1,81,413170,139 min,Rian Johnson,"Comedy, Crime, Drama"
147,Bullet Train,2022,7.3,49,388375,127 min,David Leitch,"Action, Comedy, Thriller"
148,Thor: Love and Thunder,2022,6.2,57,379925,118 min,Taika Waititi,"Action, Adventure, Comedy"
149,The Menu,2022,7.2,71,354485,107 min,Mark Mylod,"Comedy, Horror, Thriller"
150,Black Panther: Wakanda Forever,2022,6.7,67,287135,161 min,Ryan Coogler,"Action, Adventure, Drama"
151,Black Adam,2022,6.3,41,260758,125 min,Jaume Collet-Serra,"Action, Adventure, Fantasy"
152,Nope,2022,6.8,77,245719,130 min,Jordan Peele,"Horror, Mystery, Sci-Fi"
153,Uncharted,2022,6.3,45,238641,116 min,Ruben Fleischer,"Action, Adventure"
154,The Northman,2022,7.0,82,237231,137 min,Robert Eggers,"Action, Adventure, Drama"
155,The Banshees of Inisherin,2022,7.7,87,228743,114 min,Martin McDonagh,"Comedy, Drama"
156,The Gray Man,2022,6.5,49,226234,122 min,Anthony Russo,"Action, Thriller"
157,All Quiet on the Western Front,2022,7.8,76,224081,148 min,Edward Berger,"Action, Drama, War"
158,The Adam Project,2022,6.7,55,220937,106 min,Shawn Levy,"Action, Adventure, Comedy"
159,Elvis,2022,7.3,64,217384,159 min,Baz Luhrmann,"Biography, Drama, Music"
160,Prey,2022,7.1,71,215260,100 min,Dan Trachtenberg,"Action, Adventure, Drama"
161,Jurassic World Dominion,2022,5.6,38,192952,147 min,Colin Trevorrow,"Action, Adventure, Sci-Fi"
162,The Whale,2022,7.7,60,182059,117 min,Darren Aronofsky,Drama
163,Laal Singh Chaddha,2022,5.6,46,176776,159 min,Advait Chandan,"Comedy, Drama, Romance"
164,Death on the Nile,2022,6.3,52,172705,127 min,Kenneth Branagh,"Crime, Drama, Mystery"
165,Barbarian,2022,7.0,78,161985,102 min,Zach Cregger,"Horror, Mystery, Thriller"
166,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,159585,142 min,David Yates,"Adventure, Family, Fantasy"
167,RRR,2022,7.8,83,157683,187 min,S.S. Rajamouli,"Action, Drama"
168,Puss in Boots: The Last Wish,2022,7.8,73,156719,102 min,Joel Crawford,"Animation, Adventure, Comedy"
169,Triangle of Sadness,2022,7.3,63,156105,147 min,Ruben Östlund,"Comedy, Drama"
170,Babylon,2022,7.1,61,148317,189 min,Damien Chazelle,"Comedy, Drama, History"
171,Scream,2022,6.3,60,147534,114 min,Matt Bettinelli-Olpin,"Horror, Mystery, Thriller"
172,X,2022,6.6,79,147171,105 min,Ti West,"Horror, Mystery, Thriller"
173,Morbius,2022,5.2,35,142809,104 min,Daniel Espinosa,"Action, Adventure, Horror"
174,Smile,2022,6.5,68,142364,115 min,Parker Finn,"Horror, Mystery, Thriller"
175,Turning Red,2022,7.0,83,141706,100 min,Domee Shi,"Animation, Adventure, Comedy"
176,The Lost City,2022,6.1,60,141579,112 min,Aaron Nee,"Action, Adventure, Comedy"
177,Hustle,2022,7.3,68,137238,117 min,Jeremiah Zagar,"Comedy, Drama, Sport"
178,The Unbearable Weight of Massive Talent,2022,7.0,68,136056,107 min,Tom Gormican,"Action, Comedy, Crime"
179,A Man Called Otto,2022,7.5,51,134723,126 min,Marc Forster,"Comedy, Drama"
180,Don't Worry Darling,2022,6.3,48,131228,123 min,Olivia Wilde,"Drama, Mystery, Thriller"
181,M3GAN,2022,6.4,72,126981,102 min,Gerard Johnstone,"Horror, Sci-Fi, Thriller"
182,Lightyear,2022,6.1,60,118776,105 min,Angus MacLane,"Animation, Action, Adventure"
183,The Pale Blue Eye,2022,6.6,56,115206,128 min,Scott Cooper,"Crime, Horror, Mystery"
184,Brahmastra Part One: Shiva,2022,5.6,57,110008,167 min,Ayan Mukerji,"Action, Adventure, Fantasy"
185,Where the Crawdads Sing,2022,7.2,43,108566,125 min,Olivia Newman,"Drama, Mystery, Romance"
186,Guillermo del Toro's Pinocchio,2022,7.6,79,105476,117 min,Guillermo del Toro,"Animation, Drama, Family"
187,The Fabelmans,2022,7.5,84,103788,151 min,Steven Spielberg,Drama
188,The Batman,2022,7.8,72,736532,176 min,Matt Reeves,"Action, Crime, Drama"
